Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
UA,11/26/2022,604,N848UA,DEN,14:57,14:44,194,188,-13,0,0,0,0,0
UA,11/26/2022,1998,N492UA,ORD,22:39,22:19,112,101,-20,0,0,0,0,0
UA,11/27/2019,1643,N418UA,ORD,23:55,23:45,110,101,-10,0,0,0,0,0
UA,11/27/2019,2103,N490UA,ORD,14:58,15:16,108,96,18,18,0,0,0,0
UA,11/27/2021,2000,N853UA,ORD,20:51,20:35,111,103,-16,0,0,0,0,0
UA,11/27/2021,2044,N13750,EWR,23:17,23:09,77,72,-8,0,0,0,0,0
UA,11/27/2022,604,N881UA,DEN,14:57,14:58,194,191,1,0,0,0,0,0
UA,11/27/2022,1998,N802UA,ORD,20:54,20:42,114,105,-12,0,0,0,0,0
UA,11/28/2021,2000,N877UA,ORD,20:51,20:38,111,103,-13,0,0,0,0,0
UA,11/28/2021,2634,N853UA,ORD,02:49,02:34,104,93,-15,0,0,0,0,0
UA,11/28/2022,411,N489UA,ORD,02:58,02:43,105,98,-15,0,0,0,0,0
UA,11/28/2022,604,N881UA,DEN,14:57,14:52,194,188,-5,0,0,0,0,0
UA,11/28/2022,1998,N892UA,ORD,21:07,20:56,114,112,-11,0,0,0,0,0
UA,11/29/2021,2000,N816UA,ORD,20:51,20:36,111,102,-15,0,0,0,0,0
UA,11/29/2021,2634,N877UA,ORD,02:49,02:45,104,95,-4,0,0,0,0,0
UA,11/29/2022,604,N845UA,DEN,14:57,15:10,194,207,13,0,0,0,0,0
UA,11/29/2022,1998,N830UA,ORD,21:10,20:49,114,94,-21,0,0,0,0,0
UA,11/30/2019,1532,N465UA,EWR,22:41,23:47,71,110,66,27,0,39,0,0
UA,11/30/2019,2027,N69839,ORD,21:17,22:44,115,135,87,6,0,20,0,61
UA,11/30/2021,2000,N4901U,ORD,20:51,20:44,111,109,-7,0,0,0,0,0
UA,11/30/2022,308,N438UA,EWR,23:16,22:57,77,66,-19,0,0,0,0,0
UA,11/30/2022,604,N877UA,DEN,14:57,15:09,194,177,12,0,0,0,0,0
UA,11/30/2022,1998,N814UA,ORD,21:04,20:40,114,97,-24,0,0,0,0,0
UA,12/01/2019,607,N815UA,ORD,15:03,19:59,108,0,0,0,0,0,0,0
UA,12/01/2019,1643,N825UA,ORD,20:55,21:23,115,145,28,0,0,28,0,0
UA,12/01/2019,2103,N840UA,ORD,03:09,03:01,114,91,-8,0,0,0,0,0
UA,12/01/2021,2000,N877UA,ORD,20:51,21:03,111,109,12,0,0,0,0,0
UA,12/01/2022,308,N435UA,EWR,23:16,23:33,77,58,17,0,0,0,0,17
UA,12/01/2022,604,N818UA,DEN,14:57,14:40,194,184,-17,0,0,0,0,0
UA,12/01/2022,1998,N837UA,ORD,21:04,21:17,114,108,13,0,0,0,0,0
UA,12/02/2019,607,N806UA,ORD,14:58,15:03,108,120,5,0,0,0,0,0
UA,12/02/2019,1643,N806UA,ORD,20:55,20:57,115,125,2,0,0,0,0,0
UA,12/02/2019,2103,N815UA,ORD,03:09,03:21,114,110,12,0,0,0,0,0
UA,12/02/2021,2000,N873UA,ORD,20:51,20:46,111,108,-5,0,0,0,0,0
UA,12/02/2022,604,N818UA,DEN,14:57,14:37,194,176,-20,0,0,0,0,0
UA,12/02/2022,1998,N850UA,ORD,21:04,20:46,114,103,-18,0,0,0,0,0
UA,12/03/2019,1643,N889UA,ORD,20:55,21:01,115,123,6,0,0,0,0,0
UA,12/03/2019,2103,N815UA,ORD,14:58,14:44,108,101,-14,0,0,0,0,0
UA,12/03/2021,2000,N821UA,ORD,20:51,21:55,111,107,64,0,0,64,0,0
UA,12/03/2022,358,N838UA,EWR,23:17,22:55,78,64,-22,0,0,0,0,0
UA,12/03/2022,604,N840UA,DEN,14:57,14:38,194,180,-19,0,0,0,0,0
UA,12/03/2022,1998,N851UA,ORD,22:39,22:34,112,111,-5,0,0,0,0,0
UA,12/04/2019,1643,N840UA,ORD,21:05,20:54,115,106,-11,0,0,0,0,0
UA,12/04/2021,2000,N852UA,ORD,20:51,20:56,111,99,5,0,0,0,0,0
UA,12/04/2022,308,N896UA,EWR,23:16,22:59,77,62,-17,0,0,0,0,0
UA,12/04/2022,604,N840UA,DEN,14:57,14:37,194,181,-20,0,0,0,0,0
UA,12/04/2022,1998,N807UA,ORD,21:04,20:58,114,110,-6,0,0,0,0,0
UA,12/05/2019,1643,N842UA,ORD,21:05,20:56,115,106,-9,0,0,0,0,0
UA,12/05/2021,2000,N893UA,ORD,20:51,21:10,111,125,19,0,0,19,0,0
UA,12/05/2022,308,N894UA,EWR,23:16,22:47,77,55,-29,0,0,0,0,0
UA,12/05/2022,604,N840UA,DEN,14:57,14:24,194,167,-33,0,0,0,0,0
UA,12/05/2022,1998,N452UA,ORD,21:04,20:36,114,95,-28,0,0,0,0,0
UA,12/06/2019,1643,N69816,ORD,21:15,21:00,115,101,-15,0,0,0,0,0
UA,12/06/2021,2000,N845UA,ORD,20:51,20:46,111,105,-5,0,0,0,0,0
UA,12/06/2022,604,N875UA,DEN,14:57,14:42,194,174,-15,0,0,0,0,0
UA,12/06/2022,1998,N463UA,ORD,21:04,20:36,114,94,-28,0,0,0,0,0
UA,12/07/2019,524,N45440,ORD,21:17,21:23,115,115,6,0,0,0,0,0
UA,12/07/2021,2000,N847UA,ORD,20:51,20:45,111,105,-6,0,0,0,0,0
UA,12/07/2022,308,N802UA,EWR,23:16,23:41,77,52,25,0,0,0,0,25
UA,12/07/2022,604,N820UA,DEN,14:57,14:29,194,169,-28,0,0,0,0,0
UA,12/07/2022,1998,N840UA,ORD,21:04,20:59,114,108,-5,0,0,0,0,0
UA,12/08/2018,1196,N468UA,ORD,20:56,20:47,116,102,-9,0,0,0,0,0
UA,12/08/2019,1643,N853UA,ORD,21:05,21:10,115,122,5,0,0,0,0,0
UA,12/08/2021,2000,N811UA,ORD,20:51,21:00,111,108,9,0,0,0,0,0
UA,12/08/2022,308,N839UA,EWR,23:16,23:04,77,71,-12,0,0,0,0,0
UA,12/08/2022,604,N823UA,DEN,14:57,15:45,194,174,48,48,0,0,0,0
UA,12/08/2022,1998,N822UA,ORD,21:04,20:54,114,106,-10,0,0,0,0,0
UA,12/09/2019,1643,N831UA,ORD,21:05,20:49,115,116,-16,0,0,0,0,0
UA,12/09/2021,2000,N824UA,ORD,20:51,20:44,111,107,-7,0,0,0,0,0
UA,12/09/2022,604,N823UA,DEN,14:57,14:53,194,191,-4,0,0,0,0,0
UA,12/09/2022,1998,N840UA,ORD,21:04,20:51,114,98,-13,0,0,0,0,0
UA,12/10/2019,1643,N824UA,ORD,21:05,20:48,115,103,-17,0,0,0,0,0
UA,12/10/2021,1995,N37413,EWR,23:13,23:06,73,64,-7,0,0,0,0,0
UA,12/10/2021,2000,N824UA,ORD,20:51,20:33,111,95,-18,0,0,0,0,0
UA,12/10/2022,358,N850UA,EWR,23:17,00:39,78,57,82,82,0,0,0,0
UA,12/10/2022,604,N830UA,DEN,14:57,14:38,194,185,-19,0,0,0,0,0
UA,12/10/2022,1998,N425UA,ORD,22:39,22:25,112,106,-14,0,0,0,0,0
UA,12/11/2019,1643,N813UA,ORD,21:05,20:51,115,107,-14,0,0,0,0,0
UA,12/11/2021,2000,N878UA,ORD,20:51,20:34,111,98,-17,0,0,0,0,0
UA,12/11/2022,308,N816UA,EWR,23:16,02:18,77,72,182,10,0,0,0,172
UA,12/11/2022,604,N890UA,DEN,14:57,14:45,194,183,-12,0,0,0,0,0
UA,12/11/2022,1998,N894UA,ORD,21:04,20:46,114,104,-18,0,0,0,0,0
UA,12/12/2019,1643,N812UA,ORD,21:05,20:29,115,94,-36,0,0,0,0,0
